监测时间,WS0202,WS0203,WS0204,WS0205,WS0206,WS0207,WS0208
2018/10/7,11.7,11.9,15.7,34.2,11.5,4.5,7.6
2018/10/8,11.7,13.1,16,34,11.6,4,7
2018/10/9,11.2,12.9,16.3,34.1,11.5,3.9,7.3
2018/10/10,11.3,12.7,17.2,33.6,11.3,4.2,7.7
2018/10/11,11.6,12.9,16,33.7,11.3,4.4,7.1
2018/10/12,12,12.0,16.4,33.7,11.1,4.5,7.2
2018/10/13,11.3,12.6,16.8,34.2,12.1,2.9,7.2
2018/10/14,11.9,12.2,16.2,33.7,11.3,3.2,8.3
2018/10/15,12.1,12.0,16.1,33.3,11,4.3,7.9
2018/10/16,12.1,12.9,16.6,33.6,11.3,4.4,6.8
2018/10/17,12.5,13.0,16.4,33,11.5,4.5,6.6
2018/10/18,12.8,12.6,16.1,33.5,11.2,4.7,6.4
2018/10/19,13,11.4,15.6,33.2,9.8,4.8,6.6
2018/10/20,12.8,11.6,15.8,32.9,9.2,4.8,6
2018/10/21,12,12.7,16.1,33.2,11,4,6.7
2018/10/22,11.6,12.5,16.5,33.2,12,3.8,6.7
2018/10/23,12.1,12.6,16.4,33.1,11.3,4.1,6.7
2018/10/24,11.5,13.1,17,33.6,11.7,4.1,7.2
2018/10/25,11.9,13.1,17.2,33.4,11.5,4.3,5.9
2018/10/26,11.8,13.1,16.8,33.4,11.3,4.3,5.7
2018/10/27,12.2,12.8,16.4,33.6,10.9,4.4,6.3
2018/10/28,12,13.2,16.9,33.5,10.9,4.6,7
2018/10/29,12.7,13.0,16.5,33,11.2,4.8,6.3
2018/10/30,12.4,12.5,16.8,33.3,10.9,4.7,5.7
2018/10/31,12.5,12.9,16.9,33.7,10.8,4.6,6.6
2018/11/1,12.8,12.5,16.5,33.3,10.6,4.9,5.3
2018/11/2,12.8,12.5,17,33.1,10.4,4.6,5.7
2018/11/3,12.9,12.4,16.6,32.9,10,4.3,5.6
2018/11/4,13,12.8,17.4,33.4,10.5,3.7,5.6
2018/11/5,12.7,12.8,17.1,33.3,10.6,3.3,6.7
2018/11/6,12.1,12.3,15.8,33.8,10.6,3.3,6.6
2018/11/7,11.3,12.5,14.5,34.1,10.4,3,6.4
2018/11/8,10.8,12.8,13.1,34.3,10.9,2.8,5.9
2018/11/9,10.1,12.8,13.5,35.7,11.9,2.4,6.8
2018/11/10,10,13.6,13.5,36,11.8,2.4,7.1
2018/11/11,9.6,14.0,13.4,35.1,12.1,2.7,7.4
2018/11/12,9.8,14.5,12.8,35.1,12.1,2.7,6.8
2018/11/13,9.6,14.5,13.1,35.7,11.8,2.9,7.1
2018/11/14,9.8,14.5,12.8,35.5,11.8,3.4,7.9
2018/11/15,9.5,14.5,12.9,35.9,12.1,3.3,8.7
